gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,0,0,55,1,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,One year,1,Credit card (automatic),96.04,5097.56,0
Female,1,0,0,4,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.5,75.47,1
Male,0,0,0,21,1,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,1,Mailed check,101.44,2166.69,0
Male,0,1,0,26,1,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,0,Mailed check,108.01,2703.59,0
Male,0,1,0,12,1,Yes,Fiber optic,No,Yes,No,No,No,No,One year,1,Bank transfer (automatic),98.98,1221.08,0
Female,1,1,0,26,1,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,0,Bank transfer (automatic),110.48,2972.27,1
Male,0,1,1,3,1,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),105.45,304.13,1
Male,0,1,0,30,1,Yes,Fiber optic,No,No,No,No,No,No,Two year,0,Credit card (automatic),91.57,2869.1,0
Male,0,1,0,6,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),97.25,611.37,0
Female,0,1,1,0,1,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,0,Electronic check,103.7,0.0,1
Male,0,1,1,15,1,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,1,Mailed check,108.58,1547.83,0
Male,0,1,0,4,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Mailed check,103.07,430.75,1
Male,0,0,0,4,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Bank transfer (automatic),118.71,455.39,1
Male,0,0,1,3,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,105.12,308.08,1
Female,0,1,0,15,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,42.35,633.62,1
Male,0,1,0,8,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,0,Electronic check,94.36,729.09,1
Female,0,1,1,22,1,Yes,DSL,Yes,Yes,No,No,No,No,One year,0,Credit card (automatic),87.96,1918.75,0
Female,0,0,1,64,1,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,1,Credit card (automatic),113.07,7545.68,1
Female,1,1,0,23,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,89.27,2132.71,1
Male,0,0,0,27,1,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),93.89,2447.44,0
Female,1,1,0,6,0,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Credit card (automatic),71.89,450.5,0
Male,0,1,0,21,1,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,0,Bank transfer (automatic),118.75,2546.34,0
Female,0,1,1,17,1,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,1,Electronic check,102.29,1820.79,0
Female,1,1,0,46,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,26.4,1175.18,0
Female,0,0,0,43,1,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,35.1,1443.66,1
Female,0,0,0,42,1,No,DSL,No,Yes,Yes,No,No,No,Two year,0,Electronic check,64.52,2686.84,0
Female,0,0,0,31,1,No,Fiber optic,No,No,No,No,No,No,One year,0,Credit card (automatic),88.11,2864.94,0
Female,0,0,1,4,1,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Electronic check,103.25,411.17,1
Female,0,0,0,21,1,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.44,1905.48,0
Female,0,0,1,33,1,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),73.84,2445.91,0
Male,0,1,1,64,1,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,1,Mailed check,87.73,5836.87,0
