customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_000001,Male,0,No,No,55,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),96.04,5097.56,No
CUST_000002,Female,1,No,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.5,75.47,Yes
CUST_000003,Male,0,No,No,21,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,101.44,2166.69,No
CUST_000004,Male,0,Yes,No,26,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,108.01,2703.59,No
CUST_000005,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),98.98,1221.08,No
CUST_000006,Female,1,Yes,No,26,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),110.48,2972.27,Yes
CUST_000007,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),105.45,304.13,Yes
CUST_000008,Male,0,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),91.57,2869.1,No
CUST_000009,Male,0,Yes,No,6,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),97.25,611.37,No
CUST_000010,Female,0,Yes,Yes,0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,103.7,0.0,Yes
CUST_000011,Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,108.58,1547.83,No
CUST_000012,Male,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,103.07,430.75,Yes
CUST_000013,Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),118.71,455.39,Yes
CUST_000014,Male,0,No,Yes,3,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,105.12,308.08,Yes
CUST_000015,Female,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,42.35,633.62,Yes
CUST_000016,Male,0,Yes,No,8,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,94.36,729.09,Yes
CUST_000017,Female,0,Yes,Yes,22,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),87.96,1918.75,No
CUST_000018,Female,0,No,Yes,64,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),113.07,7545.68,Yes
CUST_000019,Female,1,Yes,No,23,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.27,2132.71,Yes
CUST_000020,Male,0,No,No,27,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),93.89,2447.44,No
CUST_000021,Female,1,Yes,No,6,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),71.89,450.5,No
CUST_000022,Male,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),118.75,2546.34,No
CUST_000023,Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,102.29,1820.79,No
CUST_000024,Female,1,Yes,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,26.4,1175.18,No
CUST_000025,Female,0,No,No,43,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,35.1,1443.66,Yes
CUST_000026,Female,0,No,No,42,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Electronic check,64.52,2686.84,No
CUST_000027,Female,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),88.11,2864.94,No
CUST_000028,Female,0,No,Yes,4,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,103.25,411.17,Yes
CUST_000029,Female,0,No,No,21,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.44,1905.48,No
CUST_000030,Female,0,No,Yes,33,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),73.84,2445.91,No
CUST_000031,Male,0,Yes,Yes,64,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,87.73,5836.87,No
CUST_000032,Male,0,Yes,No,27,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,56.47,1580.99,No
CUST_000033,Female,0,Yes,Yes,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,44.94,2350.72,No
CUST_000034,Female,0,No,No,23,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,76.46,1777.92,No
CUST_000035,Female,0,Yes,Yes,44,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),96.51,4272.49,No
CUST_000036,Male,0,No,Yes,28,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),76.82,2057.07,Yes
CUST_000037,Female,1,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),89.02,1746.3,No
CUST_000038,Male,0,No,Yes,13,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),102.37,1312.15,Yes
CUST_000039,Male,1,Yes,Yes,19,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),92.93,1766.36,No
